scenario,provider,question,recall,correct,n_cited,n_retrieved,single_chunk,multi_chunk,citation_precision,citation_efficiency,cited,retrieved,predicted,reference
apr21isc,Claude Sonnet 4,1,1.0,1,4,6,0,1,1.0,0.67,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,Claude Sonnet 4,2,1.0,1,2,6,0,1,1.0,0.33,kerberos_clients_result.json+suricata_alerts_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,laptop-x9naq2eu,laptop-x9naq2eu
apr21isc,Claude Sonnet 4,3,1.0,1,4,6,0,1,1.0,0.67,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,wilmer.coughlin,wilmer.coughlin
apr21isc,Claude Sonnet 4,4,1.0,1,1,6,1,0,1.0,0.17,suricata_alerts_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,2021-03-29 22:00 utc,2021-03-29 22:00 utc
apr21isc,Claude Sonnet 4,5,1.0,1,1,6,1,0,1.0,0.17,suricata_alerts_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,bazaloader;bazar backdoor,baza
apr21isc,Claude Sonnet 4,6,0.67,1,3,6,0,1,1.0,0.5,file_downloads_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,176.111.174.53;217.12.218.46;54.184.119.29;8.209.100.246,104.21.74.174;176.111.174.53;184.72.1.208;217.12.218.46;54.184.119.29;8.209.100.246
apr21isc,Claude Sonnet 4,7,1.0,1,4,6,0,1,1.0,0.67,file_downloads_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,217.12.218.46;admin.yougleeindia.in;gtmers.xyz;veso2.xyz,gtmers.xyz;veso2.xyz
apr21isc,Claude Sonnet 4,8,1.0,1,2,6,0,1,1.0,0.33,suricata_alerts_result.json+suspicious_certificates_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,bazaloader cnc malicious ssl cert;bazar backdoor malicious ssl cert;forenzik.kz (self-signed certificate),forenzik.kz
apr21isc,Cisco 8B,1,1.0,1,0,6,0,0,,0.0,,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,Cisco 8B,2,0.0,0,5,6,0,1,0.8,0.83,file_downloads_result.json+file_transfers_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,(none),laptop-x9naq2eu
apr21isc,Cisco 8B,3,1.0,1,0,6,0,0,,0.0,,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,wilmer.coughlin,wilmer.coughlin
apr21isc,Cisco 8B,4,1.0,1,1,6,1,0,1.0,0.17,suricata_alerts_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,2021-03-29t22:00:00.000z,2021-03-29 22:00 utc
apr21isc,Cisco 8B,5,1.0,1,1,6,1,0,1.0,0.17,suricata_alerts_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,bazarloader/bazar backdoor,baza
apr21isc,Cisco 8B,6,0.33,1,0,6,0,0,,0.0,,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,104.21.74.174;107.21.162.206;13.107.42.23;168.62.200.169;54.184.119.29,104.21.74.174;176.111.174.53;184.72.1.208;217.12.218.46;54.184.119.29;8.209.100.246
apr21isc,Cisco 8B,7,0.5,1,0,6,0,0,,0.0,,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,veso2.xyz,gtmers.xyz;veso2.xyz
apr21isc,Cisco 8B,8,0.0,0,2,6,0,1,1.0,0.33,suricata_alerts_result.json+suspicious_certificates_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,192.168.5.125;forenziz.kz,forenzik.kz
apr21isc,DeepSeek V3,1,1.0,1,4,6,0,1,1.0,0.67,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,DeepSeek V3,2,1.0,1,5,6,0,1,1.0,0.83,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,laptop-x9naq2eu,laptop-x9naq2eu
apr21isc,DeepSeek V3,3,1.0,1,3,6,0,1,1.0,0.5,kerberos_clients_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,wilmer.coughlin,wilmer.coughlin
