scenario,provider,question,recall,correct,n_cited,n_retrieved,single_chunk,multi_chunk,citation_precision,citation_efficiency,cited,retrieved,predicted,reference
apr21isc,Claude Sonnet 4,1,1.0,1,4,5,0,1,1.0,0.8,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,Claude Sonnet 4,2,1.0,1,2,5,0,1,1.0,0.4,kerberos_clients_result.json+suricata_alerts_result.json,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,laptop-x9naq2eu,laptop-x9naq2eu
apr21isc,Claude Sonnet 4,3,1.0,1,3,6,0,1,1.0,0.5,kerberos_clients_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,wilmer.coughlin,wilmer.coughlin
apr21isc,Claude Sonnet 4,4,1.0,1,1,3,1,0,1.0,0.33,suricata_alerts_result.json,kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json,2021-03-29 22:00 utc,2021-03-29 22:00 utc
apr21isc,Claude Sonnet 4,5,1.0,1,1,3,1,0,1.0,0.33,suricata_alerts_result.json,suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,bazaloader;bazar backdoor,baza
apr21isc,Claude Sonnet 4,6,0.33,1,2,4,0,1,1.0,0.5,suricata_alerts_result.json+suspicious_domains_result.json,kerberos_full_services_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,54.184.119.29;8.209.100.246,104.21.74.174;176.111.174.53;184.72.1.208;217.12.218.46;54.184.119.29;8.209.100.246
apr21isc,Claude Sonnet 4,7,1.0,1,3,4,0,1,1.0,0.75,file_downloads_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,217.12.218.46;admin.yougleeindia.in;gtmers.xyz (192.168.5.125 → 8.209.100.246);veso2.xyz,gtmers.xyz;veso2.xyz
apr21isc,Claude Sonnet 4,8,1.0,1,2,4,0,1,1.0,0.5,suricata_alerts_result.json+suspicious_certificates_result.json,kerberos_clients_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,forenzik.kz,forenzik.kz
apr21isc,Cisco 8B,1,1.0,1,3,5,0,1,1.0,0.6,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,192.168.5.125,192.168.5.125
apr21isc,Cisco 8B,2,1.0,1,3,5,0,1,1.0,0.6,kerberos_clients_result.json+suricata_alerts_result.json+suspicious_domains_result.json,file_downloads_result.json+kerberos_clients_result.json+suricata_alerts_result.json+suspicious_certificates_result.json+suspicious_domains_result.json,laptop-x9naq2eu,laptop-x9naq2eu
